id,First Name,Last Name,Address,PhoneNumber,CheckingNum,CheckingBal,CheckingMinBal,SavingsNum,SavingsBal,SavingsTransactionLimit,SavingsInterestRate,CreditNum,CreditBal,CreditLim,CreditInterestRate
1,Mildred,Fleming,1057 Long Street,(123) 456-7890,10000,5894.52,47.16,20000,2200.95, 7 ,0.004,30000,-4792.95,15000,0.15
2,Tony,Robinson,4500 Elkview Drive,(123) 456-7891,10001,3794.47,31.28,20001,1329.04, 15 ,0.004,30000,-2454.36,15000,0.15
3,Mark,Lee,1580 Simpson Avenue,(123) 456-7892,10002,6094.73,34.77,20002,1136.66, 6 ,0.004,30000,-417.13,15000,0.15
4,Shirley,Joyce,2588 Center Street,(123) 456-7893,10003,4463.79,0.17,20003,3341.91, 8 ,0.004,30000,-221.93,15000,0.15
5,Anne,Roman,466 Elm Drive,(123) 456-7894,10004,7078.29,16.21,20004,7494.91, 10 ,0.004,30000,-9586.38,15000,0.15
6,Ronald,Green,1709 Concord Street,(123) 456-7895,10005,2530.43,92.38,20005,6514.93, 10 ,0.004,30000,-6952.63,15000,0.15
7,Julie,Jones,2158 Kovar Road,(123) 456-7896,10006,8613.95,69.40,20006,1591.59, 7 ,0.004,30000,-5634.10,15000,0.15
8,Denis,Proctor,3970 SnyderAvenue,(123) 456-7897,10007,5795.50,67.85,20007,6981.36, 6 ,0.004,30000,-3722.73,15000,0.15
9,Heather,Alfred,3516 Lena Lane,(123) 456-7898,10008,5241.14,97.73,20008,6991.99, 10 ,0.004,30000,-1991.22,15000,0.15
10,Hazel,Mack,2299 Turkey Pen Lane,(123) 456-7899,10009,312.61,56.90,20009,7307.56, 14 ,0.004,30000,-3413.76,15000,0.15
11,Elizabeth,Selby,2843 Street Road,(123) 456-7900,10010,1528.40,73.11,20010,4630.05, 11 ,0.004,30000,-4341.56,15000,0.15
12,Janet,Bellamy,3963 Williams Lane,(123) 456-7901,10011,4236.90,51.93,20011,678.29, 9 ,0.004,30000,-5728.58,15000,0.15
13,David,Pace,1209 Pearcy Avenue,(123) 456-7902,10012,1.63,20.97,20012,5736.81, 12 ,0.004,30000,-8870.82,15000,0.15
14,Brittany,Rogers,294 Geraldine Lane,(123) 456-7903,10013,1382.36,97.11,20013,358.31, 11 ,0.004,30000,-3840.89,15000,0.15
15,Meagan,Batey,1986 Diane Street,(123) 456-7904,10014,8352.34,44.37,20014,5779.42, 12 ,0.004,30000,-6450.66,15000,0.15
16,Timothy,Mohammed,109 Heritage Road,(123) 456-7905,10015,3509.60,66.99,20015,10.75, 12 ,0.004,30000,-4081.80,15000,0.15
17,Keith,Million,4556 Walnut Hill Drive,(123) 456-7906,10016,539.03,31.41,20016,2800.13, 7 ,0.004,30000,-2900.71,15000,0.15
18,Cedric,Godina,1567 Cody Ridge Road,(123) 456-7907,10017,6718.22,99.57,20017,9018.38, 13 ,0.004,30000,-3285.42,15000,0.15
19,Timothy,Ferdinand,2511 Orchard Street,(123) 456-7908,10018,7218.25,71.31,20018,9722.47, 10 ,0.004,30000,-1722.85,15000,0.15
